elapsed_s,timestamp,gpu_uuid,sm_clock_mhz,mem_clock_mhz,temp_c,power_w,util_pct
696.4,2026/09/22 06:38:54.865,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.06,99
701.4,2026/09/22 06:38:59.949,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.12,99
706.5,2026/09/22 06:39:05.033,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.11,99
711.6,2026/09/22 06:39:10.101,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.85,99
716.6,2026/09/22 06:39:15.154,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.09,99
721.7,2026/09/22 06:39:20.183,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.14,99
726.8,2026/09/22 06:39:25.269,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.96,99
731.8,2026/09/22 06:39:30.332,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.29,99
736.9,2026/09/22 06:39:35.417,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.5,99
742.0,2026/09/22 06:39:40.501,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.2,99
747.1,2026/09/22 06:39:45.584,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.13,99
752.2,2026/09/22 06:39:50.669,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.0,99
757.2,2026/09/22 06:39:55.753,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.17,99
762.3,2026/09/22 06:40:00.837,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,449.69,99
767.4,2026/09/22 06:40:05.920,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.21,99
772.5,2026/09/22 06:40:11.005,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.99,99
777.6,2026/09/22 06:40:16.091,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.94,99
782.7,2026/09/22 06:40:21.181,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.83,99
787.8,2026/09/22 06:40:26.269,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.02,99
792.8,2026/09/22 06:40:31.299,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,449.96,99
797.9,2026/09/22 06:40:36.388,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.34,99
802.9,2026/09/22 06:40:41.439,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2310,10501,79,449.64,99
808.0,2026/09/22 06:40:46.490,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.15,99
813.1,2026/09/22 06:40:51.557,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.98,99
818.1,2026/09/22 06:40:56.645,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.97,99
823.2,2026/09/22 06:41:01.733,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.81,99
828.3,2026/09/22 06:41:06.821,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.23,99
833.4,2026/09/22 06:41:11.904,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.21,99
838.5,2026/09/22 06:41:16.989,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.2,99
843.6,2026/09/22 06:41:22.073,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.97,99
848.6,2026/09/22 06:41:27.157,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.32,99
853.7,2026/09/22 06:41:32.240,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.92,99
858.8,2026/09/22 06:41:37.306,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.26,99
863.9,2026/09/22 06:41:42.393,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.13,99
869.0,2026/09/22 06:41:47.461,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2310,10501,79,449.49,99
