elapsed_s,tflops,gpu_uuid
0.7551283836364746,159.73547011137518,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.7620391845703125,159.71170484692183,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.768949031829834,159.68795771192256,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.7758595943450928,159.73547011137518,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.7827718257904053,159.61377545531573,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.7896842956542969,159.6404735686467,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.7965896129608154,159.76072568828022,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.8035006523132324,159.6404735686467,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.8104095458984375,159.73547011137518,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.8173270225524902,159.61673656064633,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.8242383003234863,159.66718061489718,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.8311455249786377,159.73547011137518,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.83805251121521,159.7592313806295,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.8449621200561523,159.68795771192256,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.8518702983856201,159.71170484692183,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.8592197895050049,154.56194285213908,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.866621732711792,150.5949302620735,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.8738374710083008,152.9328873535254,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.881000280380249,154.02980761287,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.8881688117980957,153.8973561032628,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.8953373432159424,154.02980761287,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9025065898895264,153.91941210888186,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9096763134002686,153.94148471473915,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9168386459350586,153.9635533717806,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9240033626556396,153.96424215548146,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9311718940734863,153.94148471473915,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9383394718170166,153.92010049769067,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9455106258392334,153.91941210888186,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9526779651641846,153.8973561032628,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9598398208618164,154.02980761287,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9669995307922363,154.0519118945923,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9741659164428711,153.98563864039815,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.981330156326294,154.07401222637765,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9884982109069824,154.0077199597505,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
0.9956653118133545,153.94148471473915,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.0028297901153564,153.98563864039815,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.009997844696045,153.98563864039815,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.0171689987182617,154.02980761287,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.0243384838104248,153.91941210888186,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.0315029621124268,154.0084091386833,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.0386767387390137,153.8752961492784,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.0458416938781738,154.02980761287,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.053008794784546,153.9635533717806,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.060171127319336,154.04915365830482,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.0673396587371826,153.98563864039815,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.0745069980621338,153.91941210888186,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.0816702842712402,153.98563864039815,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.0888302326202393,154.02980761287,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.0959937572479248,154.02980761287,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.103161096572876,153.8973561032628,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.11033296585083,153.94148471473915,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.1174964904785156,154.02980761287,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.124664545059204,153.921477293781,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.1318261623382568,154.02980761287,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.1389927864074707,153.94148471473915,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.1461551189422607,154.0519118945923,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.1533255577087402,153.94078585737262,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
1.1604959964752197,153.94148471473915,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c
